,0
58,60643
69,60604
127,60604
172,60643
179,60604
193,60646
228,60643
237,60604
265,60646
266,60646
330,60643
331,60643
342,60604
343,60604
378,60646
379,60646
501,60646
529,60633
530,60617
531,60617
532,60617
533,60617
534,60617
535,60617
536,60617
537,60617
538,60617
539,60617
540,60617
557,60604
560,60646
570,60617
571,60617
572,60617
573,60617
574,60617
575,60617
576,60617
577,60617
578,60617
601,60633
602,60633
603,60633
604,60633
605,60633
606,60633
607,60633
608,60633
609,60633
610,60633
611,60633
612,60633
613,60633
614,60633
615,60633
616,60633
617,60633
618,60633
619,60633
620,60633
621,60633
622,60633
623,60633
624,60633
625,60633
626,60633
627,60633
628,60633
629,60633
630,60633
631,60633
632,60633
633,60633
634,60633
635,60633
636,60633
637,60633
638,60633
639,60633
640,60633
641,60633
642,60633
643,60633
644,60633
645,60633
646,60633
647,60633
648,60633
649,60633
650,60633
651,60633
652,60633
653,60633
654,60633
655,60633
656,60633
657,60633
658,60633
659,60633
660,60633
661,60633
662,60633
663,60633
664,60633
665,60617
666,60617
667,60617
668,60617
669,60617
670,60617
671,60617
672,60617
673,60617
674,60617
675,60617
676,60617
677,60617
678,60617
679,60617
680,60617
681,60617
682,60617
683,60617
684,60617
685,60617
686,60617
728,60604
729,60604
898,60643
899,60643
929,60604
930,60604
931,60604
932,60604
933,60604
934,60604
935,60604
936,60604
937,60604
938,60604
1030,60646
1031,60646
1032,60646
1033,60646
1034,60646
1196,60633
1197,60633
1198,60633
1199,60633
1200,60633
1201,60633
1202,60633
1203,60633
1204,60633
1205,60633
1206,60633
1207,60633
1208,60633
1209,60633
1210,60633
1211,60633
1212,60633
1213,60633
1214,60633
1215,60633
1216,60633
1217,60633
1218,60633
1219,60633
1220,60633
1221,60633
1222,60633
1223,60633
1224,60633
1225,60633
1226,60633
1227,60633
1228,60633
1229,60633
1230,60633
1231,60633
1232,60633
1233,60633
1234,60633
1235,60633
1236,60633
1237,60633
1238,60633
1239,60633
1240,60633
1241,60633
1242,60633
1243,60633
1244,60633
1245,60633
1246,60633
1247,60633
1248,60633
1249,60633
1250,60617
1251,60617
1252,60617
1253,60617
1254,60617
1255,60617
1256,60617
1257,60617
1258,60617
1259,60617
1260,60617
1261,60617
1262,60617
1263,60617
1264,60617
1265,60617
1266,60617
1267,60617
1268,60617
1269,60617
1270,60617
1271,60617
1272,60617
1273,60617
1274,60617
1275,60617
1298,60619
1299,60619
1300,60619
1301,60619
1302,60619
1325,60608
1326,60608
1338,60643
1382,60633
1383,60633
1384,60633
1385,60633
1386,60617
1387,60617
1388,60617
1389,60617
1390,60617
1391,60617
1392,60617
1393,60617
1394,60617
1395,60617
1396,60617
1397,60617
1398,60617
1399,60617
1400,60617
1401,60617
1402,60617
1403,60617
1404,60617
1405,60617
1406,60617
1407,60617
1408,60617
1409,60617
1410,60617
1411,60617
1412,60617
1413,60617
1414,60617
1415,60617
1416,60617
1417,60617
1439,60617
1440,60617
1450,60619
1451,60619
1452,60619
1463,60608
1529,60643
1530,60643
1542,60604
1543,60604
1544,60604
1545,60604
1590,60646
1591,60646
1646,60619
1647,60619
1648,60619
1651,60608
1652,60608
1653,60633
1654,60633
1655,60633
1656,60633
1657,60633
1658,60633
1659,60633
1660,60633
1661,60633
1662,60633
1663,60633
1664,60633
1665,60633
1666,60633
1667,60633
1668,60633
1669,60633
1670,60633
1671,60633
1672,60633
1673,60633
1674,60633
1675,60633
1676,60633
1677,60633
1678,60633
1679,60633
1680,60633
1681,60633
1682,60633
1683,60633
1684,60633
1685,60633
1686,60633
1687,60617
1688,60617
1689,60617
1690,60617
1691,60617
1692,60617
1693,60617
1694,60617
1695,60617
1696,60617
1697,60617
1698,60617
1699,60617
1700,60617
1701,60617
1702,60617
1703,60617
1704,60617
1705,60617
1706,60617
1707,60617
1708,60617
1709,60617
1710,60617
1711,60617
1712,60617
1713,60617
1714,60617
1715,60617
1716,60617
1717,60617
1718,60617
1719,60617
1720,60617
1721,60617
1722,60617
1723,60617
1724,60617
1725,60617
1726,60617
1727,60617
1728,60617
1749,60617
1750,60617
1751,60617
1752,60617
1753,60617
1754,60617
1755,60617
1756,60617
1757,60617
1758,60617
1851,60643
1852,60643
1868,60604
1869,60604
1931,60646
1932,60646
2016,60633
2017,60617
2018,60617
2019,60617
2020,60617
2028,60619
2029,60619
2046,60608
2047,60608
2048,60633
2049,60633
2050,60633
2051,60633
2052,60633
2053,60633
2054,60633
2055,60633
2056,60633
2057,60633
2058,60633
2059,60633
2060,60633
2061,60633
2062,60633
2063,60633
2064,60633
2065,60633
2066,60633
2067,60633
2068,60633
2069,60633
2070,60633
2071,60633
2072,60633
2073,60633
2074,60633
2075,60633
2076,60633
2077,60633
2078,60633
2079,60633
2080,60633
2081,60633
2082,60633
2083,60633
2084,60633
2085,60633
2086,60633
2087,60633
2088,60633
2089,60633
2090,60633
2091,60633
2092,60633
2093,60633
2094,60633
2095,60633
2096,60633
2097,60633
2098,60633
2099,60633
2100,60633
2101,60633
2102,60617
2103,60617
2104,60617
2105,60617
2106,60617
2107,60617
2108,60617
2109,60617
2110,60617
2111,60617
2112,60617
2113,60617
2114,60617
2115,60617
2116,60617
2117,60617
2118,60617
2119,60617
2120,60617
2121,60617
2141,60617
2142,60617
2143,60617
2144,60617
2145,60617
2146,60617
2147,60617
2148,60617
2149,60617
2150,60617
2151,60617
2152,60617
2153,60617
2154,60617
2155,60617
2156,60617
2157,60617
2158,60617
2159,60617
2160,60617
2161,60617
2162,60617
2163,60617
2240,60643
2241,60643
2246,60604
2247,60604
2248,60604
2249,60604
2295,60646
2296,60646
2379,60608
2380,60608
2411,60633
2412,60633
2413,60633
2414,60633
2415,60633
2416,60633
2417,60633
2418,60633
2419,60633
2420,60633
2421,60633
2422,60633
2423,60633
2424,60633
2425,60633
2426,60633
2427,60633
2428,60633
2429,60633
2430,60633
2431,60633
2432,60633
2433,60633
2434,60633
2435,60633
2436,60633
2437,60633
2438,60633
2439,60633
2440,60633
2441,60633
2442,60633
2443,60633
2444,60633
2445,60617
2446,60617
2447,60617
2448,60617
2449,60617
2450,60617
2451,60617
2452,60617
2453,60617
2454,60617
2455,60617
2456,60617
2457,60617
2458,60617
2459,60617
2460,60617
2461,60617
2462,60617
2463,60617
2464,60617
2465,60617
2466,60617
2467,60617
2468,60617
2469,60617
2470,60617
2471,60617
2472,60617
2473,60617
2474,60617
2488,60617
2489,60617
2504,60619
2505,60619
2506,60619
2571,60643
2572,60643
2582,60604
2583,60604
2584,60604
2585,60604
2631,60646
2632,60646
2633,60646
2705,60608
2706,60633
2707,60633
2708,60633
2709,60633
2710,60633
2711,60633
2712,60633
2713,60633
2714,60633
2715,60633
2716,60633
2717,60633
2718,60633
2719,60633
2720,60633
2721,60633
2722,60633
2723,60633
2724,60633
2725,60633
2726,60633
2727,60633
2728,60633
2729,60633
2730,60633
2731,60633
